Time Sent,Campaign Name,Total Sent,Open Rate,Industry Standard Open Rate,Total Unique Opens,Mobile Open Rate,Desktop Open Rate,Click Through Rate,Industry Standard Click Through Rate,Total Unique Clicks,Bounce Rate,Total Bounces,Unsubscribe Rate,Total Unsubscribes,Customer List,Discount
"Fri, Apr 10, 2015 5:55 PM",AwarenessApril2015,267,77.70%,39.41%,202,35.70%,64.30%,6.40%,9.78%,13,2.60%,7,0.00%,0,Customer Rewards Program Member,
"Fri, Apr 13, 2018 7:31 PM",Awareness1November2018,118,69.00%,39.41%,78,69.40%,30.60%,24.40%,9.78%,19,4.20%,5,0.00%,0,Target Demographic,
"Fri, Apr 15, 2016 1:11 PM",AwarenessApril2016,3855,28.00%,39.41%,986,61.90%,38.10%,0.60%,9.78%,6,8.70%,334,0.10%,2,Master,
"Fri, Apr 20, 2018 7:04 PM",Awareness2February2018,117,80.20%,39.41%,93,67.10%,32.90%,26.90%,9.78%,25,0.90%,1,0.00%,0,Target Demographic,
"Fri, Apr 21, 2017 11:57 AM",Promotion4April2017,228,61.80%,39.41%,139,63.00%,37.00%,49.60%,9.78%,69,1.30%,3,0.00%,0,Customer Rewards Program Member,
"Mon, Apr 23, 2018 9:50 PM",Discount4April2018,115,88.40%,39.41%,99,55.60%,44.40%,84.80%,9.78%,84,2.60%,3,0.00%,0,Target Demographic,0.2
"Tue, Sep 19, 2017 6:09 PM",Discount4September2017,147,82.60%,39.41%,119,69.80%,30.20%,71.40%,9.78%,85,2.00%,3,0.00%,0,Customer Rewards Program Member,0.3
"Fri, Apr 21, 2017 8:11 AM",Discount5April2017,126,86.40%,39.41%,108,64.60%,35.40%,63.00%,9.78%,68,0.80%,1,0.00%,0,Customer Rewards Program Member,0.3
"Fri, Apr 7, 2017 5:48 AM",Promotion2April2017,3941,25.50%,39.41%,889,56.40%,43.60%,20.00%,9.78%,178,11.40%,448,0.10%,4,Master,
"Fri, Apr 8, 2016 12:35 PM",PromotionApril2016,90,62.50%,39.41%,55,46.90%,53.10%,7.30%,9.78%,4,2.20%,2,0.00%,0,Customer Rewards Program Member,
"Fri, Nov 3, 2017 10:36 AM",DiscountNovember2017,29,82.80%,39.41%,24,57.90%,42.10%,62.50%,9.78%,15,0.00%,0,0.00%,0,Customer Rewards Program Member,0.2
"Tue, Oct 3, 2017 8:10 PM",DiscountOctober2017,149,81.60%,39.41%,120,68.10%,31.90%,61.70%,9.78%,74,1.30%,2,0.00%,0,Customer Rewards Program Member,0.2
"Tue, Feb 27, 2018 12:21 AM",Discount4February2018,225,75.20%,39.41%,167,48.10%,51.90%,58.70%,9.78%,98,1.30%,3,0.00%,0,Customer Rewards Program Member,0.2
